order_id,product_id,quantity,unit_price,discount_pct,line_total,warehouse_id,promo_id
ORD_0000001,PRD_0001,2,110.16,0.0,220.32,WH_4,
ORD_0000002,PRD_0007,2,50.33,0.3,100.36,WH_4,PRM10
ORD_0000003,PRD_0013,1,42.35,0.0,42.35,WH_1,
ORD_0000004,PRD_0001,1,109.09,0.2,108.87,WH_2,PRM05
ORD_0000005,PRD_0013,1,41.99,0.2,41.91,WH_2,PRM05
ORD_0000006,PRD_0008,1,64.78,0.0,64.78,WH_4,
ORD_0000006,PRD_0004,1,63.56,0.0,63.56,WH_3,
ORD_0000007,PRD_0010,2,22.4,0.0,44.8,WH_2,
ORD_0000007,PRD_0007,1,49.75,0.0,49.75,WH_5,
ORD_0000008,PRD_0001,1,109.9,0.0,109.9,WH_2,
ORD_0000009,PRD_0018,2,48.96,0.0,97.92,WH_1,
ORD_0000009,PRD_0001,1,110.18,0.0,110.18,WH_1,
ORD_0000010,PRD_0021,1,44.64,0.0,44.64,WH_3,
ORD_0000011,PRD_0001,2,109.02,0.0,218.04,WH_3,
ORD_0000012,PRD_0021,1,44.16,0.0,44.16,WH_3,
ORD_0000013,PRD_0013,1,41.98,0.0,41.98,WH_3,
ORD_0000014,PRD_0013,1,41.98,0.2,41.9,WH_3,PRM05
ORD_0000015,PRD_0001,1,109.24,0.0,109.24,WH_4,
ORD_0000015,PRD_0001,2,109.24,0.0,218.48,WH_2,
ORD_0000015,PRD_0013,1,42.04,0.0,42.04,WH_3,
ORD_0000015,PRD_0013,1,42.04,0.0,42.04,WH_3,
ORD_0000016,PRD_0007,1,49.63,0.0,49.63,WH_1,
ORD_0000016,PRD_0001,1,109.54,0.0,109.54,WH_1,
ORD_0000017,PRD_0015,1,59.94,0.0,59.94,WH_1,
ORD_0000017,PRD_0001,1,109.7,0.0,109.7,WH_1,
ORD_0000018,PRD_0001,1,109.93,0.0,109.93,WH_3,
ORD_0000018,PRD_0001,1,109.93,0.0,109.93,WH_3,
ORD_0000019,PRD_0021,1,44.53,0.0,44.53,WH_2,
ORD_0000019,PRD_0001,1,109.99,0.0,109.99,WH_2,
ORD_0000019,PRD_0007,3,49.83,0.0,149.49,WH_2,
ORD_0000020,PRD_0013,2,42.35,0.0,84.7,WH_3,
ORD_0000021,PRD_0021,1,44.65,0.0,44.65,WH_3,
ORD_0000021,PRD_0027,1,44.78,0.0,44.78,WH_3,
ORD_0000022,PRD_0029,1,87.57,0.0,87.57,WH_3,
ORD_0000023,PRD_0007,1,49.96,0.0,49.96,WH_3,
ORD_0000024,PRD_0021,3,44.71,0.0,134.13,WH_4,
ORD_0000025,PRD_0028,1,17.84,0.0,17.84,WH_3,
ORD_0000025,PRD_0001,1,110.49,0.0,110.49,WH_3,
ORD_0000026,PRD_0031,1,77.26,0.3,77.03,WH_3,PRM10
ORD_0000026,PRD_0021,1,44.96,0.3,44.83,WH_3,PRM10
